Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo
Random core,633,C04,B07,55,637.5833333,637.5833333,0,0.64,2.79,12.83,0.08,1.12,0.66,22.33,0.13,39,1.25,122,617,0,8,52,52,160,0,17,0,0,3,32,0,769,12,85,7,58
Random core,633,C04,B07,57,637.75,637.75,0.39,0.67,0.94,7.57,0.09,0.54,0.24,30.34,0.07,44,0.55,137,280,0,3,25,22,58,0,9,0,0,0,9,0,1181,13,44,0,20
Random core,633,C04,B07,59,637.9166667,637.9166667,0,1.21,1.16,4.34,2.08,0.78,0.14,30.48,0.07,93,0.86,128,216,0,5,20,16,52,0,11,0,0,0,0,26,1413,48,53,0,21
Random core,633,C04,B07,61,638.0833333,638.0833333,0,0.48,0.96,7.08,0.05,0.54,0.33,30.66,0.06,97,0.53,186,334,0,3,29,21,122,0,6,0,0,0,14,0,1017,10,49,0,23
Random core,633,C04,B07,63,638.25,638.25,0,0.44,0.28,3.27,0.04,0.26,0.17,35.42,0.01,148,0.18,0,83,0,1,14,0,20,0,0,0,0,0,0,0,559,0,14,0,0
Random core,633,C04,B07,65,638.4166667,638.4166667,0,0.45,0.18,3.37,0.03,0.28,0.15,35.35,0.01,137,0.19,0,80,0,1,15,0,20,0,0,0,0,0,0,0,643,0,17,0,0
Random core,633,C04,B07,67,638.5833333,638.5833333,0,0.36,0.39,4.07,0,0.27,0.18,34.62,0.01,107,0.2,0,76,0,1,18,0,25,0,0,0,0,0,0,0,594,0,18,0,0
Random core,633,C04,B07,69,638.75,638.75,0,0.67,0.59,2.55,0,0.27,0.19,35.04,0.01,259,0.22,0,80,0,1,20,0,14,0,0,0,0,0,0,0,373,0,17,0,0
Random core,633,C04,B07,71,638.9166667,638.9166667,0.43,0.93,4.5,14.2,0.07,1.67,0.87,18.06,0.25,109,2.11,0,599,74,13,49,73,151,10,22,30,0,3,34,0,605,0,102,6,59
Random core,633,C04,B07,73,639.0833333,639.0833333,0,0.63,1.56,11.98,0.1,0.93,0.38,25.01,0.09,71,1.01,129,278,0,6,34,45,94,0,14,0,8,0,12,0,978,0,50,0,30
Random core,633,C04,B07,75,639.25,639.25,0.4,0.86,2.22,7.45,0.28,0.9,0.28,27.82,0.17,130,1.23,0,197,0,9,25,19,46,0,11,0,0,0,12,0,905,11,79,0,30
Random core,633,C04,B07,77,639.4166667,639.4166667,0.79,0.99,8.16,16.76,0.15,1.47,1.77,10.07,0.27,115,2.02,0,632,81,10,42,65,122,24,28,0,9,4,57,0,443,11,130,9,63
Random core,633,C04,B07,79,639.5833333,639.5833333,0,0.47,1.79,12.75,0.13,0.58,0.41,25.4,0.09,89,0.65,0,291,0,4,26,24,78,0,6,31,0,0,17,0,837,0,52,0,18
Random core,633,C04,B07,81,639.75,639.75,0,0.62,0.61,6.19,0.52,0.37,0.13,31.95,0.03,182,0.34,0,0,0,2,19,14,84,0,5,0,0,0,0,0,993,10,32,0,17
Random core,633,C04,B07,83,639.9166667,639.9166667,0,0.58,0.6,1.41,0,0.36,0.22,36.33,0.02,117,0.36,0,94,0,3,15,0,20,0,6,0,0,0,0,0,436,0,24,0,0
Random core,633,C04,B07,85,640.0833333,640.0833333,0,0.3,0.53,7.86,0.09,0.31,0.18,31.85,0.02,116,0.21,0,195,0,1,17,0,34,0,0,0,0,0,0,0,626,0,31,0,11
Random core,633,C04,B07,87,640.25,640.25,0,0.54,2.77,10.3,0.05,1.18,0.62,24.93,0.13,122,1.36,0,618,0,8,45,55,128,0,16,0,11,0,23,0,799,10,85,0,68
Random core,633,C04,B07,89,640.4166667,640.4166667,0,0.39,1.67,13.53,0.06,1.05,0.45,23.43,0.1,86,1.09,0,485,0,7,47,52,146,0,13,0,0,0,20,0,832,9,56,0,52
Random core,633,C04,B07,91,640.5833333,640.5833333,0,0.31,1.66,12.32,0.07,0.98,0.42,24.66,0.08,60,0.96,0,489,0,6,44,46,170,0,11,0,10,0,19,0,902,10,51,0,58
Random core,633,C04,B07,93,640.75,640.75,0,0.4,2.38,11.71,0.05,1.16,0.64,23.48,0.15,75,1.29,198,772,0,8,47,50,160,0,15,0,0,0,33,0,812,10,75,5,69
Random core,633,C04,B07,95,640.9166667,640.9166667,0,0.38,2.12,11.87,0.04,1.17,0.6,23.77,0.12,85,1.25,131,750,0,8,60,52,99,0,13,0,0,0,28,0,783,14,62,0,93
Random core,633,C04,B07,97,641.0833333,641.0833333,0,0.37,2.26,10.88,0,0.96,0.4,25.97,0.07,56,1,0,354,0,6,44,35,68,0,10,0,0,0,15,0,807,11,56,0,51
Random core,633,C04,B07,99,641.25,641.25,0,0.45,1.61,14.41,0.06,1.12,0.47,22.77,0.09,67,1.1,0,412,0,7,45,54,108,0,9,0,0,2,22,13,775,9,53,0,65
Random core,633,C04,B07,101,641.4166667,641.4166667,0,0.36,2.18,17.51,0.07,1.07,0.68,19.02,0.14,0,1.1,0,370,62,7,39,58,104,0,13,0,12,2,35,0,629,7,71,0,54
Random core,633,C04,B07,103,641.5833333,641.5833333,0,0.38,2.12,12.52,0.09,1.06,0.58,22.04,0.12,69,1.13,0,344,0,7,34,59,105,0,10,0,0,0,26,0,711,14,50,0,49
Random core,633,C04,B07,105,641.75,641.75,0,0.48,2.6,11.67,0.09,1.2,0.6,23.81,0.14,92,1.38,0,443,0,9,43,56,139,0,14,0,0,0,22,0,733,14,63,0,60
Random core,633,C04,B07,107,641.9166667,641.9166667,0.31,0.65,3.59,13.86,0.11,1.45,0.83,19.59,0.18,98,1.72,0,533,119,11,52,74,160,11,16,0,11,2,35,0,604,13,79,5,84
Random core,633,C04,B07,109,642.0833333,642.0833333,1.02,0.66,7.32,14.92,0.07,1.93,1.16,12.6,0.27,147,2.57,0,621,64,16,46,57,107,11,28,0,11,2,36,0,434,8,99,6,92
Random core,633,C04,B07,113,642.4166667,642.4166667,0.3,0.52,1.81,9.77,0.22,0.89,0.52,26.42,0.09,62,0.9,0,356,0,6,30,41,75,7,11,0,0,0,22,0,847,14,49,0,42
Random core,633,C04,B07,115,642.5833333,642.5833333,0.34,0.44,2.28,12.76,0.13,1.09,0.65,22.97,0.13,47,1.16,0,324,83,7,39,60,126,9,10,0,8,2,32,0,766,15,57,0,53
Random core,633,C04,B07,117,642.75,642.75,0,0.44,2.26,12.36,0.05,1.17,0.65,23,0.14,68,1.24,147,379,70,8,36,55,127,8,11,0,9,2,30,15,723,11,56,0,69
Random core,633,C04,B07,119,642.9166667,642.9166667,0,0.53,2.69,13.59,0.15,1.23,0.75,21.8,0.16,79,1.36,0,394,85,9,38,55,115,10,10,0,0,0,35,0,735,20,67,5,52
Random core,643,C04,B08,1,643.0833333,643.0833333,0,0.51,2.83,12.91,0.29,1.26,0.65,21.77,0.16,73,1.45,132,346,0,9,38,52,134,14,13,0,10,0,30,0,767,20,61,0,50
Random core,643,C04,B08,3,643.25,643.25,0.64,0.67,4.17,9.57,0.14,1.1,0.87,21.69,0.17,106,1.34,0,435,0,8,32,41,98,0,18,0,0,2,26,0,659,11,77,0,54
Random core,643,C04,B08,5,643.4166667,643.4166667,1.5,0.66,6.68,13.71,0.11,1.91,1,14.26,0.26,136,2.37,0,353,71,14,37,70,178,15,29,0,11,2,30,0,502,10,98,0,63
Random core,643,C04,B08,7,643.5833333,643.5833333,0,1.19,1.15,4.13,0,0.23,0.19,33.28,0.03,361,0.22,0,0,0,1,16,11,18,0,0,0,0,0,0,0,321,0,20,0,10
Random core,643,C04,B08,9,643.75,643.75,0.38,1.03,0.89,2.1,0.02,0.25,0.18,34.92,0.02,241,0.17,0,93,0,1,17,0,130,0,0,0,0,0,0,0,415,0,28,0,0
Random core,643,C04,B08,11,643.9166667,643.9166667,0,0.83,0.86,2.24,0.02,0.26,0.17,34.61,0.02,200,0.17,0,0,0,1,15,0,17,0,0,0,0,0,0,0,520,0,19,0,0
Random core,643,C04,B08,13,644.0833333,644.0833333,0,0.55,1.05,1.49,0,0.24,0.17,34.65,0.02,196,0.19,0,0,0,1,17,0,13,0,0,0,0,0,0,0,524,0,29,0,0
Random core,643,C04,B08,15,644.25,644.25,0,1.76,1.76,2.36,0,0.24,0.17,32.41,0.03,272,0.21,0,100,0,1,14,0,15,0,0,0,0,0,0,0,387,0,19,0,9
Random core,643,C04,B08,17,644.4166667,644.4166667,0,0.38,1.63,8.4,0.12,0.96,0.47,28.19,0.09,95,1.01,0,311,66,7,30,46,97,0,10,0,8,0,20,0,838,9,47,0,37
Random core,643,C04,B08,19,644.5833333,644.5833333,0,0.49,2.1,9.65,0.13,1.21,0.49,26.75,0.12,72,1.3,0,368,0,9,34,59,126,0,12,0,9,0,19,0,846,9,47,0,49
Random core,643,C04,B08,21,644.75,644.75,0.43,0.64,2.5,10.05,0.1,1.44,0.53,23.73,0.17,105,1.56,0,394,0,10,43,62,115,7,16,0,13,0,26,0,783,13,53,0,46
Random core,643,C04,B08,23,644.9166667,644.9166667,0,0.39,1.94,11.17,0.11,1.08,0.58,25.22,0.12,87,1.1,0,389,79,7,41,67,207,0,11,0,0,0,24,0,778,10,55,0,51
Random core,643,C04,B08,25,645.0833333,645.0833333,0,0.49,2.18,11.73,0.11,1.12,0.69,24.05,0.13,63,1.14,0,434,84,6,40,70,141,0,11,38,0,2,33,0,724,10,65,0,58
Random core,643,C04,B08,27,645.25,645.25,0,0.46,1.55,9.01,0.15,1.01,0.37,27.48,0.07,63,1.01,122,324,0,7,41,55,125,0,9,0,10,0,15,0,978,10,35,0,34
Random core,643,C04,B08,29,645.4166667,645.4166667,0,0.36,1.74,9.4,0.19,1.13,0.48,26.26,0.1,67,1.15,0,439,0,7,39,60,146,0,9,0,0,0,22,0,872,14,40,0,50
Random core,643,C04,B08,31,645.5833333,645.5833333,0,0.44,2.21,11.24,0.1,1.18,0.64,23.67,0.14,74,1.25,0,446,0,8,44,67,173,0,14,0,0,0,30,0,743,14,59,0,57
Random core,643,C04,B08,33,645.75,645.75,0,0.34,2.68,10.33,0.11,1.5,0.75,23,0.16,80,1.64,120,454,146,10,53,80,135,0,17,0,9,2,38,14,655,17,64,0,80
Random core,643,C04,B08,35,645.9166667,645.9166667,0,0.41,2.7,9.72,0.11,1.46,0.68,24.18,0.17,75,1.61,0,589,75,10,52,77,173,0,16,0,0,2,37,15,732,16,66,0,84
Random core,643,C04,B08,39,646.25,646.25,0,0.37,0.5,4.2,0.04,0.3,0.23,34.41,0.03,190,0.21,0,93,0,1,17,0,23,0,0,0,0,0,10,0,466,0,12,0,9
Random core,643,C04,B08,41,646.4166667,646.4166667,0,0.43,0.47,2.96,0.03,0.3,0.21,34.78,0.02,275,0.22,0,93,0,1,18,0,19,0,0,0,0,0,0,0,508,0,23,0,13
Random core,643,C04,B08,43,646.5833333,646.5833333,0,0.6,0.25,1.29,0.02,0.36,0.19,36.44,0.02,149,0.27,0,91,0,2,18,0,21,0,0,0,0,0,0,0,459,0,11,0,0
Random core,643,C04,B08,45,646.75,646.75,0,0.43,0.21,1.46,0,0.34,0.18,36.2,0.01,137,0.24,0,79,0,2,18,0,25,0,0,0,0,0,0,0,458,0,13,0,0
Random core,643,C04,B08,47,646.9166667,646.9166667,0,0.43,0.42,2.94,0,0.3,0.22,34.94,0.02,254,0.21,0,87,0,1,21,0,18,0,0,0,0,0,7,0,510,0,15,0,0
Random core,643,C04,B08,49,647.0833333,647.0833333,0,0.35,0.44,2.9,0,0.28,0.2,35.1,0.02,268,0.21,0,0,0,2,16,0,22,0,0,0,0,0,0,0,506,0,15,0,0
Random core,643,C04,B08,51,647.25,647.25,0,0.41,0.58,4.94,0.03,0.35,0.22,33.91,0.03,159,0.28,0,145,0,2,18,12,19,0,0,0,0,0,0,0,450,0,14,0,13
Random core,643,C04,B08,53,647.4166667,647.4166667,0,0.43,3.31,13.83,0.11,1.52,0.91,19.52,0.2,72,1.76,121,385,164,11,51,86,146,6,19,0,11,3,47,0,581,12,69,0,69
Random core,643,C04,B08,55,647.5833333,647.5833333,0,0.51,2.62,10.8,0.11,1.62,0.68,23.21,0.15,65,1.82,0,410,93,13,52,69,178,0,20,0,12,2,37,0,688,10,59,0,70
Random core,643,C04,B08,57,647.75,647.75,0,0.47,0.47,3.73,0.03,0.36,0.19,34.79,0.02,163,0.25,0,114,0,2,20,0,27,0,5,0,0,0,0,0,456,0,11,0,17
Random core,643,C04,B08,59,647.9166667,647.9166667,0,0.55,2.16,11.45,0.13,1.33,0.6,24.36,0.13,91,1.41,129,395,0,9,45,61,129,0,16,0,11,0,27,0,710,12,48,0,63
Random core,643,C04,B08,61,648.0833333,648.0833333,0,0.43,2.56,13.88,0.09,1.44,0.73,19.79,0.16,98,1.58,0,512,142,10,57,79,164,7,21,0,8,2,40,0,602,12,57,5,77
Random core,643,C04,B08,63,648.25,648.25,0,0.46,2.15,11.65,0.12,1.68,0.58,23.05,0.13,82,1.79,0,575,0,12,61,73,188,0,23,0,9,0,31,0,681,14,50,0,85
Random core,643,C04,B08,65,648.4166667,648.4166667,0,0.4,1.93,11.34,0.06,1.56,0.55,23.73,0.12,72,1.65,0,634,0,10,65,71,186,0,20,0,12,2,30,0,686,15,44,0,88
Random core,643,C04,B08,67,648.5833333,648.5833333,0,0.49,2.98,14.92,0.15,1.83,0.83,19.2,0.18,79,2,0,621,87,13,64,95,186,9,26,0,14,0,38,0,588,14,63,0,97
Random core,643,C04,B08,69,648.75,648.75,0.46,0.6,3.41,14.9,0.13,1.9,0.93,18.18,0.2,94,2.2,0,632,161,14,67,84,184,0,24,0,20,0,42,0,558,15,69,8,102
Random core,643,C04,B08,73,649.0833333,649.0833333,0,0.49,3.04,12.83,0.16,1.71,0.85,20.57,0.17,91,1.9,0,535,98,12,58,97,167,0,23,0,15,2,41,0,630,13,69,0,80
Random core,643,C04,B08,75,649.25,649.25,0,0.5,2.84,15.07,0.11,1.67,0.79,19.56,0.15,78,1.8,0,546,145,10,58,77,145,0,20,0,8,0,36,0,601,13,56,0,85
Random core,643,C04,B08,77,649.4166667,649.4166667,0,0.48,2.72,14.09,0.12,1.68,0.75,20.18,0.16,81,1.81,144,567,97,11,60,83,141,0,19,0,12,3,39,14,612,13,61,0,75
Random core,643,C04,B08,79,649.5833333,649.5833333,0,0.4,3.06,14.57,0.09,1.64,0.8,19.74,0.18,94,1.78,0,556,102,11,53,90,128,9,19,0,13,2,33,0,595,13,69,7,76
Random core,643,C04,B08,81,649.75,649.75,0.31,0.59,3.14,14.92,0.11,1.58,0.88,19.11,0.17,90,1.67,0,581,139,11,52,88,132,0,19,0,8,3,41,14,593,15,74,7,71
Random core,643,C04,B08,83,649.9166667,649.9166667,0,0.51,2.76,12.05,0.11,1.72,0.73,21.93,0.15,106,1.87,0,495,110,13,63,94,192,10,19,0,8,3,36,0,646,12,64,0,81
Random core,643,C04,B08,85,650.0833333,650.0833333,0,0.49,3.23,10.83,0.12,1.67,0.82,21.16,0.17,95,1.77,0,547,115,11,57,85,204,7,24,0,12,2,41,0,617,13,78,6,85
Random core,643,C04,B08,87,650.25,650.25,0,0.32,0.51,3.68,0.03,0.4,0.21,34.47,0.02,106,0.36,0,127,0,3,21,0,36,0,4,0,0,0,0,0,532,0,18,0,0
Random core,643,C04,B08,89,650.4166667,650.4166667,0,0.36,0.43,4.42,0,0.34,0.19,32.86,0.02,92,0.25,0,116,0,1,20,0,28,0,6,0,0,0,10,0,486,8,16,0,9
Random core,643,C04,B08,93,650.75,650.75,0,0.44,3.27,12.54,0.09,1.53,0.8,21.2,0.15,122,1.66,151,498,93,11,49,67,124,0,22,0,10,2,38,0,603,12,63,0,66
Random core,643,C04,B08,95,650.9166667,650.9166667,0,0.44,2.77,11.38,0.04,1.03,0.67,23.69,0.12,86,1.11,0,404,66,8,37,56,81,0,15,0,0,0,29,0,577,10,50,0,42
Random core,643,C04,B08,97,651.0833333,651.0833333,0,0.4,2.2,14.73,0.09,1.37,0.62,20.65,0.12,79,1.46,124,396,79,9,50,62,165,0,17,0,11,2,33,0,638,11,57,0,64
Random core,643,C04,B08,99,651.25,651.25,0,0.47,2.23,14.39,0.11,1.41,0.69,20.65,0.13,92,1.43,0,449,99,10,52,59,124,6,16,0,11,2,35,0,633,13,59,0,73
Random core,643,C04,B08,101,651.4166667,651.4166667,0,0.37,2,11.83,0.09,1.33,0.54,23.9,0.12,71,1.39,125,416,90,9,47,59,116,0,20,0,0,0,27,0,790,15,50,6,56
Random core,643,C04,B08,103,651.5833333,651.5833333,0,0.39,2.43,14.2,0.11,1.31,0.69,22.18,0.14,75,1.36,0,422,100,9,41,57,97,6,16,0,7,0,34,13,694,15,59,6,61
Random core,643,C04,B08,105,651.75,651.75,0,0.4,2.48,14.34,0.04,1.32,0.71,20.96,0.14,90,1.4,0,442,91,9,51,69,113,7,17,0,0,0,39,0,636,12,58,0,71
Random core,643,C04,B08,107,651.9166667,651.9166667,0,0.37,2.55,14.55,0.12,1.34,0.76,19.55,0.16,78,1.44,0,406,93,9,48,66,118,0,19,0,11,2,41,0,653,15,63,6,66
Random core,643,C04,B08,109,652.0833333,652.0833333,0,0.43,1.85,11.45,0.11,1.02,0.54,24.21,0.11,106,1.17,0,312,0,7,34,40,80,0,12,0,9,2,31,0,711,13,47,0,41
Random core,643,C04,B08,111,652.25,652.25,0,0.43,0.7,4.21,0.04,0.34,0.21,32.97,0.03,141,0.22,0,136,0,2,21,0,22,0,6,0,0,0,0,0,464,0,13,0,14
Random core,643,C04,B08,113,652.4166667,652.4166667,0,0.41,2.59,13.44,0.12,1.45,0.75,21.55,0.15,93,1.51,0,503,76,10,55,73,153,0,16,0,0,0,32,0,656,12,58,0,74
Random core,643,C04,B08,115,652.5833333,652.5833333,0.29,0.51,2.6,13.41,0.12,1.49,0.71,21.56,0.13,67,1.56,0,518,61,9,57,77,144,0,17,0,0,0,34,0,688,15,57,0,64
Random core,643,C04,B08,117,652.75,652.75,0.37,0.51,2.99,13.41,0.11,1.78,0.83,20.8,0.17,103,1.95,0,513,139,12,59,84,112,7,24,30,13,3,38,0,644,9,62,0,70
Random core,643,C04,B08,119,652.9166667,652.9166667,0,0.55,2.81,14.5,0.13,1.42,0.78,20.35,0.15,91,1.46,0,478,88,10,52,71,160,7,18,0,9,0,36,0,644,14,61,0,63
Random core,653,C04,B09,1,653.0833333,653.0833333,0,0.49,2.82,14.25,0.14,1.32,0.85,19.41,0.15,84,1.36,0,489,95,9,50,71,175,7,15,0,0,3,43,0,631,16,63,0,58
Random core,653,C04,B09,3,653.25,653.25,0,0.36,2.54,14.23,0.1,1.37,0.73,20.45,0.14,69,1.46,0,474,110,9,52,62,94,0,19,0,8,2,38,0,653,12,59,0,58
Random core,653,C04,B09,5,653.4166667,653.4166667,0,0.43,2.74,14.04,0.08,1.29,0.77,20.15,0.14,96,1.35,129,445,121,9,50,66,109,0,15,0,0,2,40,0,656,14,61,0,56
Random core,653,C04,B09,7,653.5833333,653.5833333,0,0.45,3.23,13.92,0.06,1.41,0.86,18.71,0.16,109,1.6,0,510,138,11,48,72,114,9,22,0,14,3,45,0,607,12,62,6,62
Random core,653,C04,B09,9,653.75,653.75,0,0.4,2.67,15.32,0.07,1.26,0.81,20.04,0.15,77,1.32,124,451,100,8,44,67,134,7,13,0,0,2,40,0,642,13,57,5,54
Random core,653,C04,B09,11,653.9166667,653.9166667,0,0.42,2.59,13.31,0.07,1.41,0.72,21.14,0.14,95,1.48,0,530,121,10,54,66,135,0,19,0,0,0,35,0,644,11,50,0,63
Random core,653,C04,B09,13,654.0833333,654.0833333,0,0.37,2.27,13.96,0.12,1.28,0.66,21.22,0.14,89,1.33,0,386,92,8,48,73,120,8,14,0,7,3,39,0,703,15,51,0,46
Random core,653,C04,B09,15,654.25,654.25,0,0.45,2.48,14.54,0.13,1.36,0.72,20.27,0.14,87,1.42,0,431,98,9,48,67,108,0,18,0,10,0,37,0,664,13,47,6,51
Random core,653,C04,B09,17,654.4166667,654.4166667,0,0.36,1.91,11.83,0.12,1.27,0.52,24.2,0.1,108,1.35,142,361,101,9,41,55,106,0,17,0,9,2,26,0,787,13,40,0,41
Random core,653,C04,B09,19,654.5833333,654.5833333,0,0.45,2.6,14.3,0.09,1.31,0.74,20.35,0.14,69,1.4,0,469,93,9,47,61,129,0,14,0,0,3,36,0,647,13,55,0,51
Random core,653,C04,B09,21,654.75,654.75,0,0.42,2.13,12.64,0.1,1.42,0.61,22.25,0.11,76,1.55,0,362,117,10,45,63,125,0,21,0,11,0,30,0,734,13,40,0,48
Random core,653,C04,B09,23,654.9166667,654.9166667,0,0.36,2.54,14.21,0.1,1.43,0.73,20.9,0.14,107,1.51,128,382,139,10,50,69,149,0,17,0,12,0,37,0,627,15,57,0,71
Random core,653,C04,B09,25,655.0833333,655.0833333,0,0.36,2.43,14.4,0.05,1.6,0.7,20.66,0.14,104,1.72,0,438,123,11,60,75,141,0,19,0,11,2,41,0,620,9,50,0,66
Random core,653,C04,B09,27,655.25,655.25,0,0.37,2.9,15.56,0.09,1.23,0.83,18.28,0.15,90,1.34,137,390,106,8,50,72,110,0,16,0,11,0,41,0,603,14,58,0,54
Random core,653,C04,B09,29,655.4166667,655.4166667,0,0.51,3.17,16.33,0.12,1.17,0.94,17.7,0.16,77,1.29,0,410,82,7,48,77,124,0,16,0,0,3,49,0,599,17,62,5,50
Random core,653,C04,B09,31,655.5833333,655.5833333,0.33,0.45,2.75,14.65,0.1,1.36,0.77,20.58,0.15,89,1.51,151,417,64,9,49,78,134,0,18,0,11,3,42,0,666,19,55,0,63
Random core,653,C04,B09,33,655.75,655.75,0,0.49,2.99,14.5,0.07,1.62,0.83,19.72,0.18,110,1.88,0,407,134,12,46,73,107,7,22,0,12,2,48,0,625,13,54,0,53
Random core,653,C04,B09,35,655.9166667,655.9166667,0,0.42,2.66,14.26,0.16,1.25,0.79,20.97,0.13,82,1.34,117,419,94,8,44,64,121,0,18,0,0,2,38,0,668,16,59,0,56
Random core,653,C04,B09,37,656.0833333,656.0833333,0,0.35,2.72,13.91,0.08,1.24,0.76,20.11,0.14,69,1.39,154,354,127,9,44,65,133,0,18,0,11,0,41,0,629,17,57,5,52
Random core,653,C04,B09,39,656.25,656.25,0,0.39,2.46,13.48,0.15,1.16,0.73,21.97,0.13,100,1.26,0,346,88,8,38,53,88,0,16,0,0,2,36,0,662,14,46,0,36
Random core,653,C04,B09,41,656.4166667,656.4166667,0,0.56,2.93,14.72,0.21,1.43,0.88,19.01,0.16,102,1.5,0,457,111,9,58,68,139,0,18,0,10,0,43,0,627,18,67,0,85
Random core,653,C04,B09,43,656.5833333,656.5833333,0,0.46,2.86,14.35,0.11,1.64,0.82,19.49,0.17,102,1.85,136,460,115,11,55,81,121,7,22,0,12,2,44,0,644,13,62,6,88
Random core,653,C04,B09,45,656.75,656.75,0,0.55,3.07,15.61,0.13,1.38,0.97,18.27,0.16,82,1.5,179,481,76,10,56,66,101,0,17,0,0,3,52,0,604,15,69,0,81
Random core,653,C04,B09,47,656.9166667,656.9166667,0,0.57,3.27,15.22,0.13,1.56,0.97,18.46,0.18,87,1.7,0,475,95,11,58,90,155,9,22,0,12,3,52,0,629,9,72,0,90
Random core,653,C04,B09,49,657.0833333,657.0833333,0,0.5,3.21,14.9,0.09,1.52,0.98,18.84,0.18,66,1.7,155,517,96,10,53,79,140,6,18,0,10,3,52,0,614,17,66,0,81
Random core,653,C04,B09,51,657.25,657.25,0,0.53,3.4,15.11,0.11,1.58,1.03,17.98,0.19,99,1.77,154,429,92,12,52,60,109,0,18,0,10,3,53,0,589,13,72,6,72
Random core,653,C04,B09,53,657.4166667,657.4166667,0,0.51,3.4,15.17,0.09,1.42,0.99,18.35,0.19,86,1.6,0,332,83,10,43,64,251,7,15,0,0,2,52,0,627,19,71,0,57
Random core,653,C04,B09,55,657.5833333,657.5833333,0,0.55,3.69,16.41,0.16,1.35,1.12,17.63,0.2,60,1.57,176,314,107,9,44,64,84,8,17,0,0,3,54,0,612,20,73,9,53
Random core,653,C04,B09,57,657.75,657.75,0,0.51,3.66,15.7,0.15,1.43,1.06,18.06,0.19,84,1.71,0,287,116,10,42,69,124,0,17,0,8,5,54,0,616,21,68,6,52
Random core,653,C04,B09,59,657.9166667,657.9166667,0,0.57,3.22,14.46,0.13,1.4,0.97,19.31,0.17,80,1.69,182,313,99,11,39,60,88,7,18,0,9,3,48,0,637,16,66,0,56
Random core,653,C04,B09,61,658.0833333,658.0833333,0,0.56,3.85,16,0.16,1.5,1.19,17.72,0.21,82,1.79,122,340,117,11,38,72,94,7,21,0,10,3,55,0,595,17,76,0,57
Random core,653,C04,B09,63,658.25,658.25,0,0.54,3.49,14.86,0.09,1.51,1.05,18.39,0.18,99,1.71,0,411,118,11,51,81,95,7,19,0,8,3,51,0,599,16,70,6,83
Random core,653,C04,B09,65,658.4166667,658.4166667,0,0.51,3.42,15,0.15,1.5,0.97,17.92,0.18,82,1.8,119,261,121,10,38,66,92,7,15,0,0,3,49,0,606,17,70,6,58
Random core,653,C04,B09,67,658.5833333,658.5833333,0,0.38,3.46,14.95,0.1,1.32,1.05,13.66,0.17,82,1.52,0,237,72,8,44,60,121,0,21,0,0,3,61,0,512,16,77,8,53
Random core,653,C04,B09,69,658.75,658.75,0,0.5,3.53,16.51,0.11,1.28,1.04,17.46,0.19,117,1.47,0,288,126,10,42,64,195,9,13,0,0,3,50,0,588,15,66,8,51
Random core,653,C04,B09,71,658.9166667,658.9166667,0,0.53,2.8,15.98,0.15,1.34,0.77,17.66,0.14,93,1.54,0,237,72,9,42,58,109,7,16,0,0,3,44,0,605,13,61,0,47
Random core,653,C04,B09,73,659.0833333,659.0833333,0,0.37,0.68,4.86,0.07,0.43,0.24,34.23,0.03,341,0.5,0,102,0,4,17,0,20,0,6,0,0,0,9,0,411,0,19,0,14
Random core,653,C04,B09,75,659.25,659.25,0,0.19,0.61,7.69,0.04,0.32,0.22,31.24,0.03,271,0.3,0,109,0,2,17,13,20,0,0,0,0,0,7,0,425,0,16,0,10
Random core,653,C04,B09,77,659.4166667,659.4166667,0,0.44,1.79,14.2,0.09,0.77,0.55,22.63,0.09,143,0.82,164,277,62,5,34,33,67,8,9,0,0,0,23,0,615,10,51,0,28
Random core,653,C04,B09,79,659.5833333,659.5833333,0,0.44,2.83,16.51,0.11,1.2,0.78,19.23,0.14,121,1.35,0,321,85,9,37,52,103,9,12,0,7,2,35,0,613,15,77,0,52
Random core,653,C04,B09,81,659.75,659.75,0,0.52,2.94,16.66,0.1,1.25,0.77,18.87,0.13,73,1.37,0,340,82,8,36,52,122,8,13,0,9,0,33,0,617,15,81,6,46
Random core,653,C04,B09,83,659.9166667,659.9166667,0.39,0.59,3.87,17.57,0.12,1.29,1.05,16.7,0.17,104,1.46,0,358,88,8,40,50,102,8,15,0,7,3,37,0,557,16,98,6,48
Random core,653,C04,B09,85,660.0833333,660.0833333,0,0.43,3.46,17.13,0.08,1.22,0.86,17.49,0.15,102,1.43,0,308,62,9,40,52,111,7,15,0,9,2,34,0,601,13,95,7,47
Random core,653,C04,B09,87,660.25,660.25,0,0.4,3.39,15.5,0.08,1.23,0.79,18.95,0.14,114,1.45,0,300,68,9,32,37,122,6,15,0,9,2,34,0,637,17,87,0,43
Random core,653,C04,B09,89,660.4166667,660.4166667,0,0.4,3.03,16.37,0.1,1.13,0.75,18.8,0.12,87,1.26,0,270,0,8,36,50,120,7,11,0,0,2,31,0,613,18,86,6,46
